Date,Poll,QuestionNum,QuestionWord,Region,N,SurveyMethod,Likely.vs.All,Ease,Grade,National,Geo,SurveyNum,Topic
2/17/16,Quinnipiac University,7,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1342,Phone,Registered,41.56,14.17,1,National,2,6
2/17/16,Quinnipiac University,8,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Marco Rubio the Republican, for whom would you vote?",US,1342,Phone,Registered,35.3,15.04,1,National,2,6
2/17/16,Quinnipiac University,9,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Jeb Bush the Republican, for whom would you vote?",US,1342,Phone,Registered,41.56,14.17,1,National,2,6
2/17/16,Quinnipiac University,10,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and John Kasich the Republican, for whom would you vote?",US,1342,Phone,Registered,38.43,14.61,1,National,2,6
2/17/16,Quinnipiac University,11,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Donald Trump the Republican, for whom would you vote?",US,1342,Phone,Registered,44.7,13.73,1,National,2,6
2/17/16,Quinnipiac University,12,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1342,Phone,Registered,47.83,13.3,1,National,2,6
2/17/16,Quinnipiac University,13,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Marco Rubio the Republican, for whom would you vote?",US,1342,Phone,Registered,41.56,14.17,1,National,2,6
2/17/16,Quinnipiac University,14,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Jeb Bush the Republican, for whom would you vote?",US,1342,Phone,Registered,47.83,13.3,1,National,2,6
2/17/16,Quinnipiac University,15,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and John Kasich the Republican, for whom would you vote?",US,1342,Phone,Registered,44.7,13.73,1,National,2,6
2/17/16,Quinnipiac University,16,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat, Donald Trump the Republican, and Michael Bloomberg running as an independent, for whom would you vote?",US,1342,Phone,Registered,32.34,16.95,1,National,2,6
2/17/16,Quinnipiac University,17,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat, Ted Cruz the Republican, and Michael Bloomberg running as an independent, for whom would you vote?",US,1342,Phone,Registered,34.9,16.59,1,National,2,6
2/17/16,Quinnipiac University,18,"Is your opinion of Hillary Clinton favorable, unfavorable or haven't you heard enough about her?",US,1342,Phone,Registered,47.83,10.56,1,National,2,7
2/17/16,Quinnipiac University,19,"Is your opinion of Bernie Sanders favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,58.41,9.09,1,National,2,7
2/17/16,Quinnipiac University,20,"Is your opinion of Jeb Bush favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,63.7,8.35,1,National,2,7
2/17/16,Quinnipiac University,21,"Is your opinion of Ted Cruz favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,63.7,8.35,1,National,2,7
2/17/16,Quinnipiac University,22,"Is your opinion of John Kasich favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,58.41,9.09,1,National,2,7
2/17/16,Quinnipiac University,23,"Is your opinion of Marco Rubio favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,53.12,9.82,1,National,2,7
2/17/16,Quinnipiac University,24,"Is your opinion of Donald Trump favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,58.41,9.09,1,National,2,7
2/17/16,Quinnipiac University,25,"Is your opinion of Michael Bloomberg favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,53.12,9.82,1,National,2,7
2/17/16,Quinnipiac University,26,"Is your opinion of George W. Bush favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,65.17,8.39,1,National,2,7
2/17/16,Quinnipiac University,27,"Is your opinion of Bill Clinton favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,58.41,9.09,1,National,2,7
2/17/16,Quinnipiac University,28,"Is your opinion of Barack Obama favorable, unfavorable or haven't you heard enough about him?",US,1342,Phone,Registered,58.41,9.09,1,National,2,7
2/17/16,Quinnipiac University,29,Do you approve or disapprove of the way Barack Obama is handling his job as President?,US,1342,Phone,Registered,63.7,8.35,1,National,2,4
2/17/16,Quinnipiac University,30,Do you approve or disapprove of the way the Republicans in Congress are handling their job?,US,1342,Phone,Registered,58.41,9.09,1,National,2,4
2/17/16,Quinnipiac University,31,Do you approve or disapprove of the way the Democrats in Congress are handling their job?,US,1342,Phone,Registered,63.7,8.35,1,National,2,4
2/17/16,Quinnipiac University,32,"In general, how satisfied are you with the way things are going in the nation today; are you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",US,1342,Phone,Registered,49,9.78,1,National,2,4
2/17/16,Quinnipiac University,33,"Who do you trust more to make decisions that are good for the country, President Obama or the Republicans in Congress?",US,1342,Phone,Registered,60.63,10.02,1,National,2,4
2/17/16,Quinnipiac University,34,Do you approve or disapprove of the way Barack Obama is handling - the economy?,US,1342,Phone,Registered,65.73,7.57,1,National,2,4
2/17/16,Quinnipiac University,35,Do you approve or disapprove of the way Barack Obama is handling - foreign policy?,US,1342,Phone,Registered,53.64,9.26,1,National,2,4
2/17/16,Quinnipiac University,36,Do you approve or disapprove of the way Barack Obama is handling - terrorism?,US,1342,Phone,Registered,56.98,8.54,1,National,2,4
2/17/16,Quinnipiac University,37,Would you say that - Hillary Clinton is honest and trustworthy or not?,US,1342,Phone,Registered,67.76,6.79,1,National,2,6
2/17/16,Quinnipiac University,38,Would you say that - Donald Trump is honest and trustworthy or not?,US,1342,Phone,Registered,81.86,4.82,1,National,2,6
2/17/16,Quinnipiac University,39,Would you say that - Bernie Sanders is honest and trustworthy or not?,US,1342,Phone,Registered,81.86,4.82,1,National,2,6
2/17/16,Quinnipiac University,40,Would you say that - Jeb Bush is honest and trustworthy or not?,US,1342,Phone,Registered,88.91,3.84,1,National,2,6
2/17/16,Quinnipiac University,41,Would you say that - Marco Rubio is honest and trustworthy or not?,US,1342,Phone,Registered,74.81,5.81,1,National,2,6
2/17/16,Quinnipiac University,42,Would you say that - Ted Cruz is honest and trustworthy or not?,US,1342,Phone,Registered,88.91,3.84,1,National,2,6
2/17/16,Quinnipiac University,43,Would you say that - John Kasich is honest and trustworthy or not?,US,1342,Phone,Registered,81.86,4.82,1,National,2,6
2/17/16,Quinnipiac University,44,Would you say that - Hillary Clinton has strong leadership qualities or not?,US,1342,Phone,Registered,53.66,8.76,1,National,2,3
2/17/16,Quinnipiac University,45,Would you say that - Donald Trump has strong leadership qualities or not?,US,1342,Phone,Registered,67.76,6.79,1,National,2,7
2/17/16,Quinnipiac University,46,Would you say that - Bernie Sanders has strong leadership qualities or not?,US,1342,Phone,Registered,67.76,6.79,1,National,2,6
2/17/16,Quinnipiac University,47,Would you say that - Jeb Bush has strong leadership qualities or not?,US,1342,Phone,Registered,74.81,5.81,1,National,2,6
2/17/16,Quinnipiac University,48,Would you say that - Marco Rubio has strong leadership qualities or not?,US,1342,Phone,Registered,60.71,7.77,1,National,2,6
2/17/16,Quinnipiac University,49,Would you say that - Ted Cruz has strong leadership qualities or not?,US,1342,Phone,Registered,74.81,5.81,1,National,2,6
2/17/16,Quinnipiac University,50,Would you say that - John Kasich has strong leadership qualities or not?,US,1342,Phone,Registered,67.76,6.79,1,National,2,6
2/17/16,Quinnipiac University,51,Would you say that - Hillary Clinton cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,75.77,7.16,1,National,2,4
2/17/16,Quinnipiac University,52,Would you say that - Donald Trump cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,85.16,5.85,1,National,2,4
2/17/16,Quinnipiac University,53,Would you say that - Bernie Sanders cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,85.16,5.85,1,National,2,4
2/17/16,Quinnipiac University,54,Would you say that - Jeb Bush cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,89.86,5.2,1,National,2,4
2/17/16,Quinnipiac University,55,Would you say that - Marco Rubio cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,80.47,6.51,1,National,2,4
2/17/16,Quinnipiac University,56,Would you say that - Ted Cruz cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,89.86,5.2,1,National,2,4
2/17/16,Quinnipiac University,57,Would you say that - John Kasich cares about the needs and problems of people like you or not?,US,1342,Phone,Registered,85.16,5.85,1,National,2,4
2/17/16,Quinnipiac University,58,Would you say that - Hillary Clinton has the right kind of experience to be President or not?,US,1342,Phone,Registered,65.17,8.39,1,National,2,7
2/17/16,Quinnipiac University,59,Would you say that - Donald Trump has the right kind of experience to be President or not?,US,1342,Phone,Registered,75.12,7,1,National,2,7
2/17/16,Quinnipiac University,60,Would you say that - Bernie Sanders has the right kind of experience to be President or not?,US,1342,Phone,Registered,75.12,7,1,National,2,6
2/17/16,Quinnipiac University,61,Would you say that - Jeb Bush has the right kind of experience to be President or not?,US,1342,Phone,Registered,80.1,6.31,1,National,2,6
2/17/16,Quinnipiac University,62,Would you say that - Marco Rubio has the right kind of experience to be President or not?,US,1342,Phone,Registered,70.14,7.7,1,National,2,6
2/17/16,Quinnipiac University,63,Would you say that - Ted Cruz has the right kind of experience to be President or not?,US,1342,Phone,Registered,80.1,6.31,1,National,2,6
2/17/16,Quinnipiac University,64,Would you say that - John Kasich has the right kind of experience to be President or not?,US,1342,Phone,Registered,75.12,7,1,National,2,6
2/17/16,Quinnipiac University,65,Would you say that - Hillary Clinton shares your values or not?,US,1342,Phone,Registered,80.31,4.79,1,National,2,2
2/17/16,Quinnipiac University,66,Would you say that - Donald Trump shares your values or not?,US,1342,Phone,Registered,95.69,2.65,1,National,2,2
2/17/16,Quinnipiac University,67,Would you say that - Bernie Sanders shares your values or not?,US,1342,Phone,Registered,95.69,2.65,1,National,2,2
2/17/16,Quinnipiac University,68,Would you say that - Jeb Bush shares your values or not?,US,1342,Phone,Registered,103.38,1.57,1,National,2,2
2/17/16,Quinnipiac University,69,Would you say that - Marco Rubio shares your values or not?,US,1342,Phone,Registered,88,3.72,1,National,2,2
2/17/16,Quinnipiac University,70,Would you say that - Ted Cruz shares your values or not?,US,1342,Phone,Registered,103.38,1.57,1,National,2,2
2/17/16,Quinnipiac University,71,Would you say that - John Kasich shares your values or not?,US,1342,Phone,Registered,95.69,2.65,1,National,2,2
2/17/16,Quinnipiac University,72,Would you say that - Hillary Clinton would have a good chance of defeating the Republican nominee in the general election for President or not?,US,1342,Phone,Registered,45,12.95,1,National,2,6
2/17/16,Quinnipiac University,73,Would you say that - Donald Trump would have a good chance of defeating the Democratic nominee in the general election for President or not?,US,1342,Phone,Registered,52.05,11.96,1,National,2,6
2/17/16,Quinnipiac University,74,Would you say that - Bernie Sanders would have a good chance of defeating the Republican nominee in the general election for President or not?,US,1342,Phone,Registered,52.05,11.96,1,National,2,6
2/17/16,Quinnipiac University,75,Would you say that - Jeb Bush would have a good chance of defeating the Democratic nominee in the general election for President or not?,US,1342,Phone,Registered,55.58,11.47,1,National,2,6
2/17/16,Quinnipiac University,76,Would you say that - Marco Rubio would have a good chance of defeating the Democratic nominee in the general election for President or not?,US,1342,Phone,Registered,48.53,12.45,1,National,2,6
2/17/16,Quinnipiac University,77,Would you say that - Ted Cruz would have a good chance of defeating the Democratic nominee in the general election for President or not?,US,1342,Phone,Registered,55.58,11.47,1,National,2,6
2/17/16,Quinnipiac University,78,Would you say that - John Kasich would have a good chance of defeating the Democratic nominee in the general election for President or not?,US,1342,Phone,Registered,52.05,11.96,1,National,2,6
2/17/16,Quinnipiac University,79,"Thinking about the Democratic nominee for president in 2016, which of the following is most important to you: Someone who shares your values, cares about the needs and problems of people like you, has strong leadership qualities, is honest and trustworthy, has the right kind of experience, or has the best chance of winning?",US,1342,Phone,Registered,49.4,13.08,1,National,2,2
2/17/16,Quinnipiac University,80,"Thinking about the Republican nominee for president in 2016, which of the following is most important to you: Someone who shares your values, cares about the needs and problems of people like you, has strong leadership qualities, is honest and trustworthy, has the right kind of experience, or has the best chance of winning?",US,1342,Phone,Registered,49.4,13.08,1,National,2,2
2/17/16,Quinnipiac University,81,"Which of these is the most important issue to you in deciding who to support for the Democratic nomination for President: the economy and jobs, terrorism, immigration, the federal deficit, health care, foreign policy, climate change, race relations, abortion, gun policy or taxes?",US,1342,Phone,Registered,35.49,13.65,1,National,2,2
2/17/16,Quinnipiac University,82,"Which of these is the most important issue to you in deciding who to support for the Republican nomination for President: the economy and jobs, terrorism, immigration, the federal deficit, health care, foreign policy, climate change, race relations, abortion, gun policy or taxes?",US,1342,Phone,Registered,35.49,13.65,1,National,2,2
3/23/16,Quinnipiac University,1,"Who would you like to see win the Republican nomination for president this year: Ted Cruz, John Kasich, or Donald Trump?",US,1451,Phone,Registered,71.29,5.92,1,National,3,6
3/23/16,Quinnipiac University,2,Who is your second choice?,US,1451,Phone,Registered,100.24,0.52,1,National,3,6
3/23/16,Quinnipiac University,3,Who would you like to see win the Democratic nomination for president this year: Hillary Clinton or Bernie Sanders?,US,1451,Phone,Registered,59.16,7.37,1,National,3,6
3/23/16,Quinnipiac University,4,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Donald Trump the Republican, for whom would you vote?",US,1451,Phone,Registered,38.43,14.61,1,National,3,6
3/23/16,Quinnipiac University,5,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1451,Phone,Registered,41.56,14.17,1,National,3,6
3/23/16,Quinnipiac University,6,"If the election for President were being held today, and the candidates were Hillary Clinton the Democrat and John Kasich the Republican, for whom would you vote?",US,1451,Phone,Registered,38.43,14.61,1,National,3,6
3/23/16,Quinnipiac University,7,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Donald Trump the Republican, for whom would you vote?",US,1451,Phone,Registered,44.7,13.73,1,National,3,6
3/23/16,Quinnipiac University,8,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and Ted Cruz the Republican, for whom would you vote?",US,1451,Phone,Registered,47.83,13.3,1,National,3,6
3/23/16,Quinnipiac University,9,"If the election for President were being held today, and the candidates were Bernie Sanders the Democrat and John Kasich the Republican, for whom would you vote?",US,1451,Phone,Registered,44.7,13.73,1,National,3,6
3/23/16,Quinnipiac University,10,"Are there any of these candidates you would definitely not vote for in the presidential election: Clinton, Cruz, Kasich, Sanders, or Trump?",US,1451,Phone,Registered,57.23,8.01,1,National,3,6
3/23/16,Quinnipiac University,11,What one word best describes how you feel about the possibility of Hillary Clinton as President?,US,1451,Phone,Registered,53.12,9.82,1,National,3,4
3/23/16,Quinnipiac University,12,What one word best describes how you feel about the possibility of Donald Trump as President?,US,1451,Phone,Registered,63.7,8.35,1,National,3,4
3/23/16,Quinnipiac University,13,"Is your opinion of Ted Cruz favorable, unfavorable or haven't you heard enough about him?",US,1451,Phone,Registered,63.7,8.35,1,National,3,7
3/23/16,Quinnipiac University,14,Do you feel that way strongly or somewhat?,US,1451,Phone,Registered,92.97,2.28,1,National,3,2
3/23/16,Quinnipiac University,15,"Is your opinion of John Kasich favorable, unfavorable or haven't you heard enough about him?",US,1451,Phone,Registered,58.41,9.09,1,National,3,7
3/23/16,Quinnipiac University,16,Do you feel that way strongly or somewhat?,US,1451,Phone,Registered,92.97,2.28,1,National,3,2
3/23/16,Quinnipiac University,17,"Is your opinion of Donald Trump favorable, unfavorable or haven't you heard enough about him?",US,1451,Phone,Registered,58.41,9.09,1,National,3,7
3/23/16,Quinnipiac University,18,Do you feel that way strongly or somewhat?,US,1451,Phone,Registered,92.97,2.28,1,National,3,2
3/23/16,Quinnipiac University,19,"Is your opinion of Hillary Clinton favorable, unfavorable or haven't you heard enough about her?",US,1451,Phone,Registered,47.83,10.56,1,National,3,7
3/23/16,Quinnipiac University,20,Do you feel that way strongly or somewhat?,US,1451,Phone,Registered,92.97,2.28,1,National,3,2
3/23/16,Quinnipiac University,21,"Is your opinion of Bernie Sanders favorable, unfavorable or haven't you heard enough about him?",US,1451,Phone,Registered,58.41,9.09,1,National,3,7
3/23/16,Quinnipiac University,22,Do you feel that way strongly or somewhat?,US,1451,Phone,Registered,92.97,2.28,1,National,3,2
3/23/16,Quinnipiac University,23,"As you may have heard, there have been some incidents of violence at Donald Trump's campaign rallies recently, involving supporters and protesters. How much do you think each of the following is responsible for these incidents?",US,1451,Phone,Registered,53.15,10.44,1,National,3,2
3/23/16,Quinnipiac University,24,"Do you think Donald Trump is very responsible, somewhat responsible, not so responsible, or not at all responsible for these incidents?",US,1451,Phone,Registered,36.46,13.39,1,National,3,2
3/23/16,Quinnipiac University,25,"Do you think Trump's supporters are very responsible, somewhat responsible, not so responsible, or not at all responsible for these incidents?",US,1451,Phone,Registered,34.53,13.91,1,National,3,2
3/23/16,Quinnipiac University,26,"Do you think the protesters are very responsible, somewhat responsible, not so responsible, or not at all responsible for these incidents?",US,1451,Phone,Registered,32.43,13.95,1,National,3,2
3/23/16,Quinnipiac University,27,Do you approve or disapprove of the way Barack Obama is handling his job as President?,US,1451,Phone,Registered,63.7,8.35,1,National,3,4
3/23/16,Quinnipiac University,28,Do you approve or disapprove of the way the Republicans in Congress are handling their job?,US,1451,Phone,Registered,58.41,9.09,1,National,3,4
3/23/16,Quinnipiac University,29,Do you approve or disapprove of the way the Democrats in Congress are handling their job?,US,1451,Phone,Registered,63.7,8.35,1,National,3,4
3/23/16,Quinnipiac University,30,"In general, how satisfied are you with the way things are going in the nation today; are you very satisfied, somewhat satisfied, somewhat dissatisfied, or very dissatisfied?",US,1451,Phone,Registered,49,9.78,1,National,3,4
3/23/16,Quinnipiac University,31,Do you approve or disapprove of President Obama's nomination of Merrick Garland to the Supreme Court?,US,1451,Phone,Registered,45.26,11.17,1,National,3,5
3/23/16,Quinnipiac University,32,"Do you think the Senate should consider the nomination of Merrick Garland to the Supreme Court, or do you think the Senate should not consider any Supreme Court nomination until there is a new President?",US,1451,Phone,Registered,40.78,16.27,1,National,3,5
3/23/16,Quinnipiac University,33,"""The American dream is dead.""ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,65.56,6.6,1,National,3,3
3/23/16,Quinnipiac University,34,"Trump says that ""The American dream is dead.""ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,70.1,6.34,1,National,3,3
3/23/16,Quinnipiac University,35,"""With the terrorists, you have to take out their families. They care about their lives."" Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,75.43,5.22,1,National,3,3
3/23/16,Quinnipiac University,36,"Trump says that ""With the terrorists, you have to take out their families. They care about their lives."" Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,77.74,5.15,1,National,3,3
3/23/16,Quinnipiac University,37,"""Islam hates us."" Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,61.4,6.93,1,National,3,3
3/23/16,Quinnipiac University,38,"Trump says that ""Islam hates us.""ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,67.26,6.49,1,National,3,3
3/23/16,Quinnipiac University,39,"""When Mexico sends its people, they're not sending the best. They're sending people that have lots of problems and they're bringing those problems. They're bringing drugs, they're bringing crime. They're rapists."" Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,77.51,5.03,1,National,3,3
3/23/16,Quinnipiac University,40,"Trump says that ""When Mexico sends its people, they're not sending the best. They're sending people that have lots of problems and they're bringing those problems. They're bringing drugs, they're bringing crime. They're rapists."" Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,78.77,5.01,1,National,3,3
3/23/16,Quinnipiac University,41,Do you happen to know who made the statement about the American Dream being dead?,US,1451,Phone,Registered,78.81,5.99,1,National,3,2
3/23/16,Quinnipiac University,42,Do you happen to know who made the statement about terrorists' families?,US,1451,Phone,Registered,67.76,6.79,1,National,3,1
3/23/16,Quinnipiac University,43,Do you happen to know who made the statement about Islam hating us?,US,1451,Phone,Registered,83.01,4.91,1,National,3,1
3/23/16,Quinnipiac University,44,Do you happen to know who made the statement about Mexican immigrants?,US,1451,Phone,Registered,67.76,6.79,1,National,3,2
3/23/16,Quinnipiac University,45,"To institute a total and complete shutdown of Muslims entering the United States until officials better understand the terrorist threat facing America. Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,37.15,12.67,1,National,3,2
3/23/16,Quinnipiac University,46,"Trump would like to institute a total and complete shutdown of Muslims entering the United States until officials better understand the terrorist threat facing America.ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,40.6,12.57,1,National,3,2
3/23/16,Quinnipiac University,47,"To broaden laws regarding the use of torture in interrogations of suspected terrorists. Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,44.58,10.52,1,National,3,3
3/23/16,Quinnipiac University,48,"Trump would like to broaden laws regarding the use of torture in interrogations of suspected terrorists. Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,49.19,10.25,1,National,3,3
3/23/16,Quinnipiac University,49,"To deport all of the estimated 11 to 12 million illegal immigrants currently living in America.ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,43.73,11.01,1,National,3,3
3/23/16,Quinnipiac University,50,"Trump would like to deport all of the estimated 11 to 12 million illegal immigrants currently living in America. Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,47.75,10.82,1,National,3,3
3/23/16,Quinnipiac University,51,"To replace free trade agreements with taxes of up to 35% on goods imported from countries like China and Mexico.ÌâåÊIs this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,60.96,9.1,1,National,3,3
3/23/16,Quinnipiac University,52,"Trump would like to replace free trade agreements with taxes of up to 35% on goods imported from countries like China and Mexico. Is this something with which you strongly agree, somewhat agree, somewhat disagree, or strongly disagree?",US,1451,Phone,Registered,62.88,9.21,1,National,3,3
3/23/16,Quinnipiac University,53,America has lost its identity.,US,1451,Phone,Registered,49.48,7.6,1,National,3,4
3/23/16,Quinnipiac University,54,I feel as though I'm falling further and further behind economically.,US,1451,Phone,Registered,53.66,8.76,1,National,3,1
3/23/16,Quinnipiac University,55,I feel as though my beliefs and values are under attack in America these days.,US,1451,Phone,Registered,73.17,6.78,1,National,3,2
3/23/16,Quinnipiac University,56,The government has gone too far in assisting minority groups.,US,1451,Phone,Registered,52.87,8.37,1,National,3,1
